image_content_sha256,image_reference,synthetic_only_matched_detections,real_25_matched_detections,real_50_matched_detections,real_75_matched_detections,real_only_matched_detections,matched_detection_range
10f2a765c46795dbd8b0f638bccd2be735df1288195bb9cd0eb935bbacd7d612,datasets/raw/aquarium/export/train/images/IMG_2527_jpeg_jpg.rf.3de0e3c95781ea109647310c017ca1fc.jpg,2,2,2,2,2,0
2396852352e3291b4f150533fceec07856e9bd4d1a2c39b6cf32a34f9032870a,datasets/raw/aquarium/export/train/images/IMG_2524_jpeg_jpg.rf.87f4a069ac66bc31523d434d04f9d2d6.jpg,1,1,1,1,1,0
362dbf7bb7d250c437723391b741a15ce5f5713c315e8167e9cbaf1608b4f43d,datasets/raw/aquarium/export/train/images/IMG_3125_jpeg_jpg.rf.6c100391f99fd177741c11b928b7a61c.jpg,1,1,1,1,1,0
3656b74f4963fb52b8b4811f4ab03d7f9de4cdaf32ab2bf51ab39a4c39617fe7,datasets/raw/aquarium/export/train/images/IMG_2520_jpeg_jpg.rf.4cab9c74da59c93865ed205f4dcf8c46.jpg,1,1,1,1,1,0
49d3818d7c9aa90758b241fa2e568172fd41f4117262479dc29a641ce94452f5,datasets/raw/aquarium/export/train/images/IMG_8590_MOV-4_jpg.rf.1691f0958ffea266daa9011c203cd726.jpg,1,1,1,1,1,0
4fbcab19764ca6c0d5bd465124a21dfd86fd79c5a9413eb182fb9b55830f1a33,datasets/raw/aquarium/export/test/images/IMG_8590_MOV-2_jpg.rf.2136fdb5dcbcd58a1dc456bb3e5bf476.jpg,3,3,3,3,3,0
566e06f73285333e7f4e373b62da664074689447e3fbce3100405d95319e13da,datasets/raw/aquarium/export/valid/images/IMG_8448_jpg.rf.f0f8cdc741e2f94c9c8a2dbf8af6fb6a.jpg,3,3,3,3,3,0
7e6f9f1b1bbc57984f2890ac7e544fb8f2923881d3f4f78663c55c8f03dd9f75,datasets/raw/aquarium/export/train/images/IMG_8410_jpg.rf.080d0f9f09ffb56da86e800ed8e37df7.jpg,1,1,1,1,1,0
8c4bb1f827144e043eee2a23ce5ec5615ccf49dc0517f68f699ee0e032e64864,datasets/raw/aquarium/export/test/images/IMG_8590_MOV-5_jpg.rf.074e6d8acdd3fcad16d866c341b43769.jpg,1,1,1,1,1,0
9ccee0dd71361d28f72487bb7ffa50259964012eb84efe7e9bc714efbe4723f3,datasets/raw/aquarium/export/train/images/IMG_3128_jpeg_jpg.rf.68558c9a951e61ca99ae152b38026341.jpg,2,2,2,2,2,0
acc0a22b991d07e9b5a40ac9c37ac4c8f975e284421628d8b12a771c41789756,datasets/raw/aquarium/export/train/images/IMG_8392_jpg.rf.8f621f7d59dcc22204c1977e12890901.jpg,8,8,8,8,8,0
c8885c92227c90c4f139fe0b561279b335775b1c02c7e7465ec7c984bf4cf2b5,datasets/raw/aquarium/export/valid/images/IMG_3124_jpeg_jpg.rf.539a07bdc20ae24c50d185c747476b94.jpg,1,1,1,1,1,0
d7b08e487621bec7f6bc29aad2e63049b4cf3d10e6d50f72318cf1b496434611,datasets/raw/aquarium/export/valid/images/IMG_3120_jpeg_jpg.rf.05e302318ebf9502b3467828b1f1e45a.jpg,1,1,1,1,1,0
e157d59b1319710794049bbd225a4a30cc88c738b45a1c07c97273a2c8fb5446,datasets/raw/aquarium/export/test/images/IMG_3129_jpeg_jpg.rf.90c472dcdf9b6713ec767cc97560ceca.jpg,1,1,1,1,1,0
e766e52e641345eba687d935f0985147c74b558e48f5d3b828181197f5647f16,datasets/raw/aquarium/export/train/images/IMG_3121_jpeg_jpg.rf.0868c7d1a4e32a0ca167c247eefea800.jpg,1,1,1,1,1,0
eac2f599ecc1a2ac02cd9bcf61e96bac343a3b5f59205003c5431241c48831ad,datasets/raw/aquarium/export/train/images/IMG_8590_MOV-1_jpg.rf.5e5c650f344f8d835e04f867c6496953.jpg,6,6,6,6,6,0
ed03b1ab2fd203757e91951fa6fe882e17d52044a1f850160102a0abc3d1d87f,datasets/raw/aquarium/export/train/images/IMG_8439_jpg.rf.e784fd1e3cd2e38fb7c169e2e54ad91e.jpg,1,1,1,1,1,0
f093d63ade772e250120131885c8d800b09855fdbdb2131d7269fb014d4f494d,datasets/raw/aquarium/export/train/images/IMG_8398_jpg.rf.1f9989b02bab390abcc1c6651ae35690.jpg,7,7,7,7,7,0
